,text
530,"Job Description
Amazon's Customer Service (CS) department is seeking an experienced business analyst to join the WW CS Consumer Operations Insights and Standards (COINS) team. We are looking for an outstanding business analyst to join us in delivering a new business process improvement platform, which sets a new standard for the speed, quality and customer satisfaction by which we resolve business problems, respond to changes and opportunities and enable people across the company to contribute to process improvement.
As we‘re combining a suite of enabling technologies in the areas of model-driven development, business process management and business intelligence, we’re creating solutions that let business analysts perform the complete cycle of delivering better automated solutions from engaging customers and prioritizing opportunities, through automating and testing the improved solution with little or no involvement of software engineers, to training and tracking the delivered business impact.

This position can be located in any NA CS site (including CPT and SJO) and could require travel up to 20%.
**This role requires a valid visa/work permit**

Key responsibilities
Support and contribute to COINS achieving functional goals.
Analyse metrics, key indicators and other available data sources to discover root causes of process defects.
Works across multiple internal & external teams. May lead virtual teams in completing projects/activities.
Engage directly with our internal customers to find, prioritize, improve and assimilate better business processes.
Scope, document and submit requirements for systems changes, backed up by business case and impact analysis.
Propose simple, scalable and effective ideas and best practices in your domain of expertise.
Analyze and model data, processes and business rules.
Continuously track the realized business value and ongoing customer satisfaction from delivered solutions, be it self-service, automation or customers contacting CS.
Independently performing analysis using tools like SQL, MicroStrategy, Tableau and R.
Basic Qualifications
Basic qualifications
Analytical mindset and ability to see the big picture and influence others.
Degree in a quantitative discipline such as Statistics, Mathematics, Economics, Quantitative Finance or Operational Research, or equivalent professional experience.
3+ years of experience working in Business Analysis, Analytics, Business Intelligence, or a comparable role.
Experience of modelling techniques and methods.
Experience working with databases and SQL in a business environment.
Demonstrated knowledge of MS Excel.
Demonstrated use of analytical packages and query languages such as SQL and R.
Prior experience in design and execution of analytical projects.
Experience working with large scale databases and data warehouses.
Detail-oriented with aptitude for solving unstructured problems.
Strong oral, written and presentation skills combined with the ability to lead group discussions and explain complex solutions.
Ability to work effectively in a multi-task, high volume environment.
Ability to be adaptable and flexible in responding to deadlines and workflow fluctuations.
Preferred Qualifications
Preferred qualifications
Exposure to software development.
Additional language skills could be advantageous but not essential."
531,"Who we are:
Sixt Rent a Car stands for exciting mobility and tailored solutions. We lead with innovation, high-quality customer service, premium products and a seamless rental experience. With nearly $3 billion in revenue and a presence in over 100 countries worldwide, it is no wonder we are a global leader in the car rental industry.

Sixt hires service and sales-oriented individuals, who are excited about cultural experiences interacting with customers and colleagues from many diverse backgrounds. Sixt is more than just cars. We have a passion for style, technology, innovation, creativity and entrepreneurial spirit.

What to expect:

As a Business Analyst, you will support all controlling and operational analysis to enable Sixt to achieve our ambitious goals.
What you'll do to be Sixt-cessful:
Develop ad hoc queries and complex SQL scripts to extract desired data and metrics
Utilize, create, and maintain SQL scripts used for data exchange and validation
Use spreadsheets and database systems to aggregate data and perform analysis
Manage routine data exports for sales, operations, fleet related topics
Monitor P&L and controlling results and analyze business performance
Contribute to the budgeting and forecasting process for all business entities within the company
Compile data on all business units from different data sources, develop and produce recurring and other ad hoc reports as needed
Review operational processes and derive optimization potentials
Consult with Branch Managers in order to recommend measures that would benefit their business
Present results and findings to (senior) management
Support important project roll-outs.
What you'll need:
Bachelor’s degree
Experience with Oracle SQL and statistical tools
Adept at tracking down data elements and relationships between multiple tables
Proficiency in creating reports in a sensible and presentable form
Ability to function independently and manage multiple projects
Proficiency with Microsoft Office applications, particularly strong Excel skills
Advanced knowledge of project management methods
Strong organizational skills and high attention to detail
Exceptional communication and interpersonal skills
Professional written and verbal skills
Must have the ability to hit the ground running, being a team player with good presentation skills
Must be authorized to work in the United States and not require work authorization sponsorship by our company for this position now or in the future."
532,"$40,000 a yearFast paced durable medical equipment group is seeking an office manager with strong business analytics background. Some of the tasks will include:Supervision of data entry staffReporting on daily, weekly basis from variety of different platformsData entry and customer service when neededManagement of staff, record keepingDaily operations of order fulfillment, collections, and general office managementIdeal candidate will should be:Familiar with web-based applications, such as DropBox, SyncFamiliar with medical industry, Medicare, commercial insurances and medical billing softwareExpert in Microsoft Office, with a focus on ExcelMust be able to multitask and pivot in a very fluid environmentBe able to travel if needed for 2-3 days per quarter if neededPosition is with Florida-based company, job is on-site in Uniontown, Ohio. Our billing company is growing business that specializes in durable medical equipment billing, and continues to expand at a rapid pace. We offer competitive salary, health benefits and paid vacation.Job Type: Full-timeSalary: $40,000.00 /yearExperience:business analysis: 3 years (Preferred)Location:Uniontown, OH (Preferred)Work authorization:United States (Required)"
533,"$75,000 a yearUp to $75K per year

CP936506815

Pinnacle Partners is assisting our client in their search for a Business Systems Analyst to join their growing team located in the Indianapolis area. Our client is seeking an individual who will be responsible for product and service analysis, customer retention analysis, and partnering with development teams on requirements. This is an excellent opportunity to join a growing company that offers a great work life balance and the chance to grow in your career.

RESPONSIBILITIES:

Lead communication efforts between IT and business groups.
Interact with users to identify current business operating procedures.
Aid Senior Business Analyst’s in the implementation of project responsibilities.
Coordinate with the QA team and assist user acceptance testing.
Work in collaboration with and train end users on business software.
Record business user requirements and processes for coding systems or programs.

REQUIREMENTS:

2+ years of demonstrated experience as a Business Analyst.
Able to define scope and document requirements.
Prior experience with SQL to create simple and complex queries.
Previous experience with Application Development projects.

TERMS:
This is a direct hire opportunity with a salary up to $75K per year based upon experience. They offer excellent benefits including full medical benefits, 401K match, PTO and great work life balance."
534,"Entry Level HRIS Business Analyst - (1805063)
Description

Job Summary:

ON Semiconductor is seeking a self-driven and motivated professional to join the HR Information Systems (HRIS) team, located in Phoenix, AZ. As an HRIS Business Analyst, you will have the opportunity to make a difference to On Semiconductor’s Cloud HR business processes and technology support management. This role involves working closely with the business partners and IT on leading industry platforms, including Oracle Cloud HR, Taleo, and other HR peripheral tools and applications that support HR operations.

In this role you will:
Learn Oracle Cloud HR functionality and utilize the gained knowledge in
Providing support to the HR Business by partnering with them on understanding business requirements and challenges
Analyze and Identify options to support Intended Business Outcomes
Work closely with IT to ensure quality and timeliness of Solution Delivery
Perform the analysis and present the recommended solution to the business and IT stakeholders
Lead the solution deployment in collaboration with business and IT delivery teams
Contribute towards the HR work intake activities and help leadership with informed decision making, resourcing and escalation as appropriate
Collaborate with peers to identify opportunities for enterprise-wide improvements
Continue to establish standard tools and practices that help increase availability to focus on strategic opportunities
Perform testing as needed during system upgrades, patches, or new system implementations
Support additional HRIS strategic initiatives, as needed

Qualifications

Bachelor's Degree in Business, Information Technology or related field
1+ years professional experience in an IT environment and HR Business Processes is strongly preferred
Experience in IT Help Desk is desirable
Demonstrated ability to influence critical business outcomes
Strong influencing skills and the ability to interact with management.
Good written and verbal communication skills
Highly flexible and able to quickly adapt to changing priorities
Strong interpersonal and organizational skills
Strong analytical skills, attention to detail
Willingness and Ability to Learn New Tools and Applications

ON Semiconductor (NASDAQ: ON) is driving energy efficient innovations, empowering customers to reduce global energy use. The company is a leading supplier of semiconductor-based solutions, offering a comprehensive portfolio of energy efficient power and signal management, logic, standard and custom devices. The company’s products help engineers solve their unique design challenges in automotive, communications, computing, and consumer, industrial, medical and military/aerospace applications. ON Semiconductor operates a responsive, reliable, world-class supply chain and quality program, and a network of manufacturing facilities, sales offices and design centers in key markets throughout North America, Europe and the Asia Pacific regions.

Primary Location: US-AZ-Phoenix
Work Locations: USAZ01 ON HDQTRS US8 5005 E McDowell Rd Phoenix 85008
Job: Human Resources
 Full-time
Job Posting: Sep 4, 2018, 3:34:47 PM"
535,"Overview
DHG is a certified public accounting and advisory firm offering assurance, tax and advisory services. With a growing international presence and ranking amongst the top 20 accounting firms in the nation, the firm combine’s deep industry experience with a strong commitment to personal service. DHG understands the complexities and challenges of delivering both regulatory and strategic change initiatives by offering a fresh perspective and innovative solutions to complex risk, compliance, and regulatory concerns. The firm’s consulting and advisory clients include Fortune 500 companies across a variety of industries in all 50 states and internationally.
Responsibilities
DHG Risk Advisory Services (RAS) is currently seeking a Business Analyst that will be responsible for maintaining and advancing the tools that will report, analyze, and forecast the results of our practice. These tools will support monthly, annual, and special project goals for all professionals across its rapidly-growing global consulting practice. Primary consumers of these tools and the actionable intelligence they provide will be leveraged by all RAS professionals. In addition to business analysis responsibilities, this position will include the review of various compliance requirements and assist with various resource management/scheduling priorities. The position is located in Charlotte, North Carolina.

Responsibilities of the position will include:
Work in collaboration with the Scheduling Coordinator and Financial Analyst to document, train, and implement new finance and operational processes across DHG RASTrack general operating performance and monitor specific service line resultsCompile and analyze monthly, quarterly, and annual forecasts and subsequent resultsAnalyze engagement performance and proactive work with billing partners and managers to ensure engagements perform as plannedAssist in the creation of scheduling forecasts, strategic business plans, and modelsMonitor compliance activity requirements for large and complex professional services contracts / programs.Ensure conformity and consistency in application of legal and business policies and practices across all RAS markets.Assist in the preparation of financial and business performance schedules for routine meetings and presentationsAssist in maintaining scheduling tool to ensure reporting accuracyRespond to scheduling updates and ad-hoc requests sent to a centralized Scheduling mailboxDevelop trend analysis of staff utilization to be used for workforce planningDemonstrated communication skills to include written, verbal, and effective listening skillsDemonstrated problem solving as well as continuous process improvement skillsConsistent track record of on time work product delivery and attention to detailAbility to handle confidential informationDemonstrated analytical and organizational proficiencyAbility to prioritize and multi-task while maintaining accuracy
Qualifications
BA/BS degree in Business Administration, Accounting, Finance or related discipline preferred1 - 2 years of related experience (full time or internships) requiredExperience in professional services preferredAdvanced Excel competency, Microsoft BI, and database proficiency preferred"
536,"Educational Requirement :Bachelor’s degree in Business, Information Systems, Computing or similar area
Job Responsibilities :

Business analysis, evaluations, design systems and procedures, conduct work simplification & measurement studies, documentation etc.
Gather and organize information on problems or procedures.
Analyze data gathered and develop solutions or alternative methods of proceeding.
Confer with personnel concerned to ensure successful functioning of newly implemented systems or procedures.
Develop and implement records management program for filing, protection, and retrieval of records, and assure compliance with program.
Review forms and reports and confer with management and users about format, distribution, and purpose, and to identify problems and improvements.
Perform gap analysis on the existing manual and automation testing tools.
Developing the framework by applying the knowledge of complexities and interdependencies of business processes across applications.
Configure, setup, execute and analyze various test suites as well as reporting problems;
Maintain test record and defect tracking systems.
Location : San Jose, CA
Job Site : San Jose, CA
Send your resumes along with your contact information to : info@emergsoft.com
Open vacation policy. We don't count days.
If you're sick, just stay home and get better.
Buy or build your ideal work environment.
Fitness stipend.
A sunny, top floor office space.
Located near beautiful area.
Housing stipend if you live near the office.
Flexible work hours."
537,"Responsible for managing AMS Backlog and Order Aging strategy through the management of data analytics and business processes. Partners with stakeholders to identify/implement opportunities for business process improvement to effectively manage the backlog to achieve the customer and financial expectations of the business. Leading and working with cross-functional teams, creates and implements plans that enable the execution of business strategies. Participates in the process by which backlog information is collected, developed, validated for alignment with various team including global procurement and factory management. Scope includes business execution processes related to order management, Available to Promise (ATP)/commit processes, aging, order book. Partners cross-functionally to develop, track and manage business metrics for the organization.

Responsibilities:
Manages a broad range of moderately complex supply chain processes, such as backlog and age order analysis and management.
Identifies opportunities for process improvement and develops recommendations.
Drives backlog management actions working with various cross functional teams.
Gathers data from various cross functional teams to synthesize solutions for backlog execution and ordering aging.
Coordinates or leads weekly Business Operations meeting which includes driving actions closure.
Reviews performance metrics on a regular basis, identifying opportunities for improvement.
Contributes to priority projects with complex analyses and assists in developing recommendations.
Communicates requirements and guidelines to various cross-functional teams.
Education and Experience Required:
University degree or equivalent experience; may have advanced university degree.
Requires 4 - 6 years of experience in a supply chain function.
Knowledge and Skills:
Strong understanding of supply chain processes (order management, planning, sourcing, manufacturing).
Very strong analytical and data modeling skills.
Very Strong communication and influencing skills; mastery in English and local language.
Proven relationship management skills.
Strong knowledge of Microsoft Office skills (Excel, PowerPoint, etc.), statistical analysis, and financial modeling.
Strong project management skills to lead cross-functional teams; recognized as Subject Matter Expert.
Strong business acumen and technical knowledge within area of responsibility.
Strong understanding of the company's overall supply chain strategy.
Extensive understanding of Material Requirements Planning (MRP), Available to Promise (ATP) and master scheduling.
Developed leadership skills including team-building and conflict resolution and management."
538,"Learns or infers the client's business process flows to help drive development priorities and roadmaps. Creates and documents business and functional specifications, user stories, and acceptance criteria. Develops and maintains system documentation for web service projects. Tracks and reports on project schedules."
539,"Business Analyst, Data Implementation

RegEd’s newest Business Analyst, Data Implementation is responsible for performing the data management activities related to the implementation of our suite of products for our clients in the Financial Services industry. The candidate will be responsible for interacting directly with our customers, offering product expertise, driving a successful implementation of our product solutions, and liaising with the internal RegEd teams to resolve technical issues. Ability to listen and understand a client’s business requirements, analyze those requirements across product lines to determine the best configuration to meet those requirements and translate business requirements into technical requirements for the developers is key to being successful in this role.
The candidate will be responsible for managing multiple projects at various stages through an implementation lifecycle. The lifecycle includes but is not limited to import/export requirements gathering and definition, engaging internal technical resources, validating the input or output is accurate, identifying discrepancies for our clients and guiding clients through user acceptance testing.
The successful candidate must have polished presentation skills, patience and an enthusiastic attitude. The ideal candidate must also have strong analytical skills in order to understand and address customer needs, and must be able to effectively communicate, track and meet delivery deadlines.

Essential Functions/Responsibilities
Performs project implementations for our customers from project inception through completion.
Engages customers to ensure that requirements are understood.
Uses various tools to create and analyze reports in support of customer data validation and to identify issues requiring resolution.
Monitors, manages and resolves customer requests in a timely and courteous manner.
Works with business stakeholders and technical teams while building efficient working relationships.
Produces supporting technical documentation for internal and external publication.
Interfaces with internal and external clients with high level of professionalism and ability to convey recommendations to maximize success.
Oversees scheduling and execution of routine data analysis and coordination of file receipt, transformation, processing, and quality control.
Creates and maintains customer specific project plans, ensures resources are scheduled accordingly to complete tasks, and manages client expectations for their online application implementation.
Builds strong relationships with client team members, works successfully under pressure, maintains positive attitude, and meets client project deadlines in an efficient and professional manner.

Skills and Knowledge
Strong analytical skills, including understanding and troubleshooting software product configurations.
Excellent business relations skills, including written and verbal communications, and group presentation skills.
Organized and detail-oriented with the ability to successfully prioritize multiple responsibilities for multiple projects, with effective and timely follow-up.
Extremely responsive, results oriented, and an effective problem solver.
Highly flexible self-starter, able to learn quickly and operate independently.

Qualifications
Required:
Bachelor’s degree in business, finance/accounting, quantitative/technology/software development area or comparable experience.
Experience with Microsoft Office Suite and strong understanding of Excel data functions.
Experience managing enterprise projects, documenting processes and creating best practices
Experience in data analysis and technical troubleshooting
Ability to work on multiple complex tasks concurrently
Can work independently or in team structure
Comfortable taking initiative and making decisions as necessary
Strong problem solving ability
Strong written and oral communications skills
Must possess excellent time management skills
Typically requires 5+ years of Technical and/or Project Management, Account Management or other successful client facing experience
Desired:
Experience with customer-facing software implementations
Knowledge of the securities and/or insurance industries a plus

Physical Conditions/Requirements
Position requires the ability to hear and communicate clearly, orally and in writing
Uses vision to view screens, create and review documents; requires close vision, distance vision, color vision, peripheral vision, depth perception and ability to adjust focus
Capable of using a keyboard effectively
Frequently required to sit for long periods of time, stand, walk and may occasionally lift and move 25 pounds
May require the ability to drive a vehicle
Occasional travel to meetings or outside training may be required


The above statements are intended only to describe the general nature of the job, and should not be construed as an all-inclusive list of position responsibilities. Individuals may perform other duties as assigned, including work in other functional areas to cover absence or relief, or to equalize peak workload periods.
Employee must perform all of the essential functions/responsibilities with or without accommodation for classification in this position.

""We are an Equal Opportunity Employer, Gender/Minority/Veterans/Disabled"""
540,"At AstraZeneca we believe in the potential of our people and you’ll develop beyond what you thought possible. We make the most of your skills and passion by actively supporting you to see what you can achieve no matter where you start with us.

The Manufacturing Execution System (MES) Business Analyst has experience performing IT business analysis within a multi-system manufacturing environment, working with key business partners. The role holder has a broad and deep understanding of manufacturing business processes, and can drive standard best practice approaches to implementation across multiple pharmaceutical and biologics production technologies at facilities with diverse geographies, regulatory requirements, and cultures.
The MES Business Analyst will be accustomed to adapting to a variety of complex scenarios within plants where manufacturing processes and equipment differ, and be able to work strategically keeping the enterprise solution in mind. The MES Business Analyst operates with a high level of interactive communication to set clear direction for others, demonstrating high levels of inclusion and cultural sensitivity.
The role will partner with the local and global Business Process Owners (BPO) of the Manufacturing Execution process. In this partnership, the MES Business Analyst will be an active member of governance boards, supporting the BPO in driving the adoption of standard AstraZeneca processes across the manufacturing site network.
The MES Business Analyst will take a best practice approach to process documentation, maintaining a comprehensive set of standard and site process flows (ex: swim lane diagrams). They will also work closely with the manufacturing architects and engineering so that the business processes deployed in MES are underpinned with the appropriate technology, and the users’ needs are supported.
The MES Business Analyst will be an active participant in an MES Center of Excellence. In this role they will closely collaborate with other site based MES specialists, informing on Master Batch Record / Generic Master Batch Record (MBR/GMBR) standard methodology design principals. The design principals will align with the standards established by both the MES BPO and Quality MBR BPO standards.

Typical Accountabilities

The MES Business Analyst is expected to perform at experienced level in the following:

Business Needs Identification - Operates at an enterprise level in assessing and defining business need and areas for improvement. Actively seeks out opportunities to enhance and improve in line with strategic goals. Actively monitors and identifies capability gaps and proposes potential solutions through research internally and externally.
Business Process Mapping - Selects the appropriate documentation approach depending on process type. Proficient in scoping and recommending appropriate approaches. Capable of planning and leading their own and other team members' activities to meet targets and deadlines. Accountable for performance and quality of analytical work delivered, both their own and the work of others.
Partner Analysis & Change - Effectively identifies partners from all areas of the business, and actively builds and maintains relationships according to individual partner needs and levels of influence. Contributes to communication plans and change management for project and partners.
Business Solution Assessment - Highly proficient in analyzing and assessing solution proposals and able to articulate supporting reasoning. i.e. assessing business readiness, improving value vs. spend. Leads the work with the business to identify functional and technical and GMP compliance requirements, translating the requirements into design specifications reflecting Functional Design, User Interface Design and Business Process Modelling. Closely partnering with the Architecture team, ensuring the technical solution will deliver the agreed business benefits.
Manufacturing and Packaging Processes - Has a diverse set of experiences with shop floor manufacturing environments, preferably in the Pharmaceutical, Biologics or life sciences sector. Understands the importance of the user’s role in executing the manufacturing process, their interaction with electronic systems, and the constraints they face when performing their duties.

Work collaboratively with:
1. Senior Business Stakeholders to ensure that solutions fulfil their future strategic needs and challenges
2. Business Process Owners to develop and maintain the business relationship, support business process change and act as point of contact for MES deployment and change
3. Site Business customers to identify business needs, mentor local MES staff, and effectively communicate impact, cost and benefits of new and changed demands
4. IT Delivery and Support to ensure clear understanding of requirements and effective testing so that the solutions delivered to the business are efficient and effective, meeting the customer experience expectations.
5. Site and Global Engineering Teams to ensure that specified line equipment is able to integrate seamlessly with the AstraZeneca standard solution for MES

Work collaboratively with or take responsibility for:

6. Test Lead to define the testing approach and the components of testing to ensure traceability of requirements and effectiveness of overall solution.
7. Change Management/Communication Lead to ensure the Change Management and Communications plans and delivery support the Partner Analysis.

Education, Qualifications, Skills and Experience

Essential
Validated experience of working with complex integrated systems, using creative and strategic thinking to deliver extraordinary results.
Strong engagement, communication and partner management skills, including excellent presentation and influencing skills at senior levels
Experience of mentoring, coaching or developing others
Experience of working with and managing third party suppliers/vendors
Experience of running high levels of risk by making reasoned judgements of complex situations, developing creative solutions and applying comprehensive multi-functional and industry understanding.
Experience with Manufacturing Execution Systems
Experience with production processes within Enterprise Resource Planning systems such as SAP
Degree in relevant engineering or IT discipline
Desirable
Exposure to User Centred Design (User Experience, User Interface and Business Process Engineering)
Lean SIGMA training
Practical usage of Agile Methodology
Experience of working in a global organisation with complex/geographical context
Working in a highly regulated industry
Pharmaceutical business awareness
Cross industry business awareness
Demonstrable experience of successfully deploying MES technology in a regulated manufacturing environment
Through understanding of industry standards for enterprise and control system integration such as ISA95 and S88
Experience with production automation systems
Experience with the Werum PAS|X MES system
Experience with Data Historian Systems
Key Stakeholders

Internal (to AZ or team)
IT Capability Leads
Business Relationship Managers
Business customers
Global process and systems owners
Enterprise and Solution Architecture
Strategy, Innovation, Delivery and Capability functions
Capability Service Managers and Operational Service Managers
Multi-functional project teams
Internal network forums
External (to AZ)
External IT partners, Third Party suppliers/vendors
Consultancy partners
MES professional bodies, networks and forums
Business specialism professional bodies, networks and forums
AstraZeneca is an equal opportunity employer. AstraZeneca will consider all qualified applicants for employment without discrimination on grounds of disability, gender or gender orientation, pregnancy or maternity leave status, race or national or ethnic origin, age, religion or belief, gender identity or re-assignment, marital or civil partnership status, protected veteran status (if applicable) or any other characteristic protected by law."
541,"Calling the adventurers ready to join a company that's pushing the limits of nanotechnology to keep the digital revolution rolling. At KLA-Tencor, we're making technology advancements that are bigger—and tinier—than the world has ever seen.

Who are we? We research, develop, and manufacture the world's most advanced inspection and measurement equipment for the semiconductor and nanoelectronics industries. We enable the digital age by pushing the boundaries of technology, creating tools capable of finding defects smaller than a wavelength of visible light. We create smarter processes so that technology leaders can manufacture high-performance chips—the kind in that phone in your pocket, the tablet on your desk and nearly every electronic device you own—faster and better. We're passionate about creating solutions that drive progress and help people do what wouldn't be possible without us. The future is calling. Will you answer?
Group/Division
The Global Service Support Organization (GSS) team headquartered in Milpitas, CA is our service organization that consists of Service Sales and Marketing, Spares Supply Chain management, Field Operations, Product Training, and Technical Support. The GSS organization partners with our field teams and customers in all business sectors to maintain the high performance and productivity of our products through a flexible portfolio of services. Our comprehensive services include: proactive management of tools to identify and improve performance; expertise in optics, image processing and motion control with worldwide service engineers, 24/7 technical support teams and knowledge management systems; and an extensive parts network to ensure worldwide availability of parts.
Responsibilities
PRIMARY RESPONSIBILITY:

As part of the Global Ops Service organization, you will be mainly responsible for managing the Reserves processes, maintaining internal Access Database, reviewing and analyzing the data and ensuring we are compliant and adhere to our financial responsibilities. Will also include inventory analysis and reporting to areas of responsibility

Other areas include, plans, performs and implements process improvement initiatives (such as Lean or Six Sigma and Root Cause Analysis). Responsible for developing metrics that provide data for process measurement and identifying indicators for future improvement opportunities. Provides input and analysis on data and provides recommendations to management. Could act as main contact point between Manufacturing, Sales, Marketing, GOPS Manufacturing and many times will be interacting with field personnel regarding customer issues. Other areas of responsibilities include and not limited to the following:

Improvement Initiatives in Service Operations. Could engage with and collaborate cross functionally with Engineering, Operations, Service and division finance for target setting and reporting of results.
Collaborate with Operations on Inventory Planning and Operational expense PE drivers.
Continuous improvement mindset, partnering with different areas of the organization, identifying gaps, cost savings and productivity.
Own the Service Support Reserves process, understanding the drivers, processes and the understanding of impact and setting forecast and meeting goals
Identify excess scrap and manage with the Service Ops teams to review, seek approvals and the disposition worldwide by working closely with Logistics
Ensure that finance policies and proper accounting rules are being followed consistently and SOX-compliant in all areas of responsibility.
Assist in all other ad hoc requests which require financial modeling, scenario analysis and simulations.
Will also include inventory analysis and reporting
Qualifications
Bachelor’s Degree and or Semiconductor Experience
Proficient in the following: SAP, Oracle, Excel, PPT and MS Access
Experience in: Supply Chain Operations, Inventory and Materials and Finance
Customer Service and or Spare parts environment
Advanced Analytical and Excel a big plus
Minimum Qualifications
Bachelor's Level Degree with 3 years of experience
Master's Level Degree with 2 years of experience
Equivalent Combination of Education and Experience.
Equal Employment Opportunity
KLA-Tencor is an Equal Opportunity Employer. Applicants will be considered for employment without regard to age, race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability, or any other characteristics protected by applicable law."
542,"It's fun to work in a company where people truly BELIEVE in what they are doing!

We're committed to bringing passion and customer focus to the business.
SPECIFIC RESPONSIBILITIES
Works with internal and external clients to identify and document business requirements
Interprets client requirements to provide the most effective and viable technical solution
Understands long-term business objectives and suggest technical strategies to meet business objectives.
Seeks out opportunities to leverage best practices and reusable objects to meet requirements in an efficient and effective manner.
Works with clients to formulate functional specifications and works with the development team to translate those requirements into application functionality.
Collects, documents, manages, understands and communicates business and technical requirements and goals to development team.
Enhances the client and project team interface to manage expectations and client satisfaction.
Assists the development team in translating the functional specification requirements into application architecture.
Assists with the creation of the technical specifications and system documentation including: restart instructions, process documentation, flows, training material, etc.
Develops project plan tasks with input from the development team, clients, etc. Communicate deliverable dates to all parties.
Collaborates with quality assurance group to ensure complete test plans.
Facilitates / participates in quality assurance testing as needed.
ESSENTIAL QUALIFICATIONS
Education/Knowledge:
Bachelor's degree (BA or BS) from an accredited four-year college or university required. An equivalent combination of experience and education may be considered.

Experience / Skill:
2+ years of relevant business experience required, preferably in an equivalent technical environment working with various web and backend development technologies like Java, Net, Oracle, SQL Server, etc.
Familiar with basic primary research concepts including the following: sampling, data tabulation and analysis, significance testing and experimental designs (test and control groups)
Excellent verbal and written communication skills including technical writing skills
Must have strong customer service acumen with proven experience in gathering and validating requirements
Ability to use MS Word, Excel, Project, Power Point
Knowledge of Relational Database concepts
Knowledge of Internet/Intranet concepts
Knowledge of structured testing techniques
Knowledge of Agile and Scrum development methodologies
Concentrix is an equal opportunity employer. Concentrix evaluates qualified applicants without regard to race, color, religion, gender, national origin, age, sexual orientation, gender identity or expression, protected veteran status, disability status or any other legally protected characteristic."
543,"ContractJob SummaryTech BAs are genera, Bas who have worked as part of the application development team. They don’t need any tech skills, however, they need to have experiences working with the tech team, able to use tools like JIRA, Confluence, HP-ALM etc, to write user stories, BRD, record test cases, requirements matrix and be part of the overall software development lifecycle as a functional expert.Responsibilities and DutiesStrong experience in Investment bankingMust have experience in Performance calculation and Client reporting in Asset and Wealth management areaQualifications and SkillsTo be a developer of established Scrum teamsTo be an independent contributorBe well versed with Scrum functionsJob Type: ContractExperience:business analyst: 2 years (Required)"
544,"Armour Risk Management Inc. is an insurance/reinsurance management and service company providing a full range of services for legacy books of business. With operations in the United States, United Kingdom, Bermuda, Mexico and Continental Europe, Armour Risk is a growing and dynamic business with ambitious plans for expansion. To assist in managing the growth of the company, Armour Risk is seeking a Business/Operations Analyst in its Philadelphia, PA office.Key Objectives: Effectively manage Data Analytics, Forecasting and critical Workflow Management. This person will play a key role in working with internal Business Leaders to determine and manage operations based on data driven elements.Key Tasks: Responsible for data driven dashboard reporting to our business which highlights productivity, profitability and opportunities for improvement. Focus on quality, compliance and efficient use of capital. Participate in M&A analysis and transactional matters.Develop dashboard of Key Performance IndicatorsAnalyze and communicate forecasts for performanceMake recommendations towards meeting performance/profit goalsCompletes regular reporting for various departmentsEffectively communicate and work with business leaders to ensure data is presented in an effective and succinct mannerConsistent exercise of independent judgment and discretion in matters of significanceAssist with the preparation of financial statements and supporting notesAbility to proactively assess current procedures and develop solutions to improve workflow efficiencyIntermediate to advanced knowledge of Microsoft Office suite of applications (proficiency with Excel is required, proficiency with Access is a plus)Candidate understands basic business KPIsOther duties and responsibilities as assignedKey Technical Skills/Knowledge: 3 - 5 years relevant experienceDemonstrated proficiency in Microsoft Excel, Word, PowerPoint & Access.Demonstrated verbal and written communication, customer service, analytical and presentation skillsDemonstrated time management, organizational and detail oriented skillsAbility to interpret and utilize key financial dataDemonstrated quantitative and analytical abilitiesAbility to clearly communicate financial concepts, both orally and written, to a broad spectrum of internal usersDemonstrated ability to manage multiple priorities in a fast paced environmentDemonstrated influence skills. Must be able to diplomatically persuade others and effectively drive continuous improvement/changeProfessional Qualifications Required: Ability to work independently but also effectively as part of a dispersed teamCan demonstrate evidence of showing initiative and bringing a pro-active approach to the workplaceExcellent communication skills with ability to build rapport with other staffAbility to seek and illicit information from a wide range of people across the companyFlexible attitude, ability to perform under pressureStrong project skills including planning and prioritizationCompensation commensurate with experience.Job Type: Full-timeExperience:business analyst: 3 years (Required)"
