,location,text
43,"Anderson, SC 29621","Job Description


Clean and organize raw data from different sources.
Use descriptive statistics to summarize the overall picture.
Collect, organize, analyze, and present data for possible quality, test, manufacturing problems or trends to answer key questions.
Visualization of data analysis and derivation of recommended actions.
Creation/use of Machine learning models for predictions.
Testing and improving the performance of machine learning tools.
Systematic development and usage of statistical algorithms for the analysis of high-dimensional big data.
Evaluation of statistical models, determination of validity of the analysis.
Assist in the creation and maintenance of data collection and reporting procedures and systems to insure the validity of the data used for decisions.
Support problem-solving teams with data analysis for quality improvements, cost reductions, and cycle time reductions.
Co-development of data analysis on an existing analytics platform.
Process and implement changes in accordance with quality standards.
Support product teams, CIP activities and Policy Deployment objectives.
Translation of business needs into data-driven, technical solutions. Qualifications


4 yr. Degree (Computer Science or Computer Engineering) and 2 years’ experience as data scientist.
Knowledge in data analysis, statistics data mining, machine learning, visual analysis of big data.
Knowledge in machine learning models for predictions.
Knowledge in statistical algorithms.

Additional Information

By choice, we are committed to a diverse workforce - EOE/Protected Veteran/Disabled.
BOSCH is a proud supporter of STEM (Science, Technology, Engineering & Mathematics) Initiatives
FIRST Robotics (For Inspiration and Recognition of Science and Technology)
AWIM (A World In Motion)"
44,"Santa Clara Valley, CA","InternshipImagine what you could do here. At Apple, new ideas have a way of becoming extraordinary products, services, and customer experiences very quickly. Bring passion and dedication to your job, and there's no telling what we can accomplish together.
Do you love pursuing big challenges that require especially creative solutions? Can you intrinsically see the importance in every detail? Do you strive to craft elegant solutions to highly complex challenges?
Our Platform Architecture group is responsible for connecting our hardware and software into one unified system, and we design technologies to work seamlessly in unison. Join this team, and you’ll develop forward-looking prototype systems in collaboration with engineers across Apple. We take daring, revolutionary ideas and turn them into reality. You and your team will apply engineering fundamentals and start from scratch if need be. Together, our work will lead to the intuitive technology experiences that Apple is known for worldwide.
Apple’s Platform Architecture group is looking for a motivated engineer with a strong background in data science and numerical processing. Join a team of expert hardware and software engineers to architect and implement tools to improve the collection and analysis of large amounts of data. The candidate must be self-driven with initiative. The candidate must have multi-disciplinary skills with a focus in tools development, a knack for automation and experience with processing large datasets.

Key Qualifications
Strong background in:
Data science
Numerical processing
Data visualization
Proficient at:
Python3
Matplotlib / Bokeh (or similar)
Pandas
Numpy
Description
The candidate will build tools to aid in the processing, storage, and visualization of large datasets. This work will include but is not limited to: application development, lab automation, data analysis and data visualization tools.

Education
Pursuing a BS, MS or Ph.D in CS or CE. Must be graduating December 2019 or later."
45,"Salt Lake City, UT 84180 (Downtown area)","We're hiring a Data Scientist in Salt Lake City who is passionate about using technology to make the world a better place. What's it like to work at Radiant? You will be our point person for user retention, think A/B tests, data analysis, ML, NLP. You'll be part of our engineering team, but collaborate deeply with Design, Product, and Marketing to reliably retain users on our Radiant platform products.
Our teams are collaborative ' we sit together, brainstorm together, and build together because we believe that's the only way to make superior products. We're committed to innovation ' so much so, in fact, that we hold quarterly hack-a-thons to let individuals and teams build projects and hit for the fences with radical new ideas. We believe in spreading goodness so much that we match your charitable contributions to non-profit organizations. If you are a tenacious data scientist who enjoys a rapidly growing environment, has a passion for finding insights in data, and thrives even in uncertain conditions, consider applying.
What We Do:
We're building innovative mobile and web applications.
Our team has a strong preference for simple, elegant solutions to customer needs.
We build applications that people love, and make a difference in their everyday lives!
What We Need You To Do:
Work with Product, Marketing, and Design to define and implement A/B and multivariate tests.
Design and implement growth and retention experiments, from generating ideas to analysis of experiment results.
Utilize statistical analysis to drive user retention.
Ensure tests get up and running and be willing and able to help product and marketing teams interpret results and present them to management without bias.
What we look for:
Innate interest in learning about customer behavior, using both quantitative and qualitative methods.
Great with data and analysis tools.
Create and implement algorithms in relevant statistical inference, graph, and network analysis, natural language processing with open source tools and libraries.
Design and support efficient storage and retrieval of Big Data.
Develop highly accurate machine learning models to help improve in-product experiences and drive business growth.
Excellent Python, R, or Scala skills.
Able to think strategically and tackle open-ended problems.
Willing to learn what you don't already know.
Bonus points for:
Experience in product management, user acquisition marketing or similar fields.
Deep understanding of SEO/SEM, social and viral mechanics.
Aid in productionizing projects including, but not limited to, developing API endpoints, creating datasets and associated visualizations, deploying AWS Lambdas, and creating scheduled Airflow jobs.
Experience with data pipelines, warehousing and reporting systems.
Bachelor's Degree. (Preferred Master's Degree or above in Data Science, Statistics, Computer Science, Math, or similar quantitative field) or equivalent work experience.
About Radiant
Radiant is an experience company focused on developing innovative products and supporting content that make a better world for individuals, families and communities. We're constantly prototyping, launching and tuning to truly solve customer problems. We are dedicated to the fight against iffy, shoddy software. We make better, more usable tools for making the world a better place. A better-connected world and more effective ways for everyone, everywhere to communicate, make discoveries, share knowledge, be inspired, and do big things. We accomplish all this by giving smart, creative, passionate people opportunities to create awesome.
Benefits
Medical, Dental, AD&D, Life, and Vision Insurance.
Charitable donation matching.
Paid time off and 11 paid holidays.
Flexible schedule.
Fully stocked kitchen and catering.
401K (with a company match).
Tuition Reimbursement.
Lift desks, comfy chairs, and a casual dress code"
46,"Dallas, TX","$15 an hourTemporary, InternshipOverview
Data Scientist Intern – Corporate Strategy

As a member of the Data Science Team the Intern will serve as an internal consultant, responsible for collecting, organizing, analyzing, summarizing, and interpreting data to help drive actionable decisions and generate competitive advantage.
Responsibilities
The Data Science Intern will assist this department with a variety of responsibilities including but not limited to:

Assist with data science projects, working with business Customers to understand contextual problems quickly and define, analyze, and deliver solutions based on business objectives
Applies math, statistics, and/or advanced modeling methods in order to create solutions which can be utilized in descriptive, diagnostic, predictive, and prescriptive analytics
Interacts with functional leaders across multiple and concurrent projects
Formulates and communicates solutions and options for moderately complex problems
Creates and communicates results from moderately complex data analysis and models
Supports the ongoing effectiveness of models in use by business Customers
Supports the ongoing development of the Southwest Airlines data science center and community
Qualifications
BASIC QUALIFICATIONS:
High School Diploma, GED or equivalent education required.
Must be at least 18 years of age
Must have authorization to work in the United States as defined by the Immigration Reform Act of 1986.

EDUCATION:
Candidates must be currently enrolled in a fulltime Bachelor’s Degree program with a Major/Minor in Applied Mathematics, Business, Computer Science, Economics, Engineering, Information Systems, Math, Science, Statistics or related degree program.
Minimum of Junior level by hours (60+) at the start of the internship preferred
Maintained 3.0 or above cumulative GPA

SKILLS/ABILITIES/KNOWLEDGE/WORK STYLE:
Strong communication and influencing skills are required, including the ability to interact directly with the Senior Leadership team.
Must have strong problem solving skills, including the ability to gather facts, conduct analysis, and translate data into meaningful insights.
Experience working with predictive and prescriptive statistical methods preferred.
Alteryx experience preferred.
Experience with a data science project preferred.
Experience in stat programming language preferred (R, python) required.
Experience in developing and delivering presentations is preferred.
Experience with relational database and noSQL database preferred.
Experience working and problem solving with cross-functional teams is preferred.
Previous experience with an internship in a related position within the last 12 months is preferred.

Location and Pay:
Pay of $15.00 per hour + flight privileges
This position is located in Dallas, Texas at the Southwest Airlines Headquarters.

Southwest Airlines is an Equal Opportunity Employer.
All Students must apply online at careers.southwestair.com"
47,"Albuquerque, NM","What Your Job Will Be Like


We are seeking an experienced computational science researcher to conduct fundamental algorithm research, object-oriented software development, and application of methodologies in the broad areas of high-performance computing, optimization, uncertainty quantification, model calibration, machine learning, and sensitivity analysis. Areas of interest in algorithms R&D include (but are not limited to) multilevel and multifidelity uncertainty quantification for coupled systems, large-scale inverse problems, statistical inference, design-of-experiments, discrepancy modeling, risk-averse optimization, optimization under uncertainty and surrogate modeling.
On any given day, you may be called on to:
Provide leadership in emerging research areas, building momentum by mentoring other staff and giving technical guidance
Develop fundamental algorithm research on multiscale and uncertainty quantification methods on massively parallel computational architectures
Publish research results in leading technical journals and present at technical workshops and conferences
Implement research results and contribute to the Multiscale Interface for Large-scale Optimization (MILO) code, VoroCrust, Dakota, Rapid Optimization Library (ROL), or other Trilinos-based software projects
Conduct outreach to deliver capabilities we develop in our department to the rest of the lab
Developing conduits for impact within the lab’s core missions
Qualifications We Require


PhD in Mathematics, Engineering, Physics or related discipline
Two years of research experience
Programming experience with relevant software development on HPC architectures
Strong publication record as evidenced by accepted, peer-reviewed scholarly articles, issued patents, technical books, conferences, etc
Qualifications We Desire


Excellent written and oral communication skills
Experience in scientific computing and numerical methods for partial differential equations
Experience and/or training in one or more engineering application areas, e.g., engineering mechanics, material science, CFD, MHD, etc.
Experience in machine learning with an emphasis on UQ
Experience with UQ in high-dimensional space
Experience in developing advanced UQ techniques specifically for large-scale PDE-based applications
Experience with formal software quality engineering principles
Experience with C++ and advanced HPC architectures and operating systems
Experience implementing algorithms on heterogeneous computational architecturesResearch experience in high-performance computational models and uncertainty quantification for material science or magnetohydrodynamics applications

About Our Team


The Optimization and Uncertainty Quantification Department is housed within Sandia’s Center for Computing Research (https://cfwebprod.sandia.gov/cfdocs/CompResearch/index.cfm). The department’s mission is to provide leadership in the research, development, and application of scientific optimization and UQ algorithms and software, in support of Sandia’s many mission areas. Staff members work in a collaborative, highly multidisciplinary, team-based environment. The department produces several open-source, scientific software packages including Dakota (https://dakota.sandia.gov) and ROL (Rapid Optimization Library – https://trilinos.org/packages/rol/). Broad partnerships are maintained at many levels, and collaborations are actively carried out with other government institutions, universities and industry. The department frequently hosts students and faculty from world-class universities for extended visits through the Computer Science Research Institute (CSRI; see http://www.cs.sandia.gov/CSRI/).

About Sandia


Sandia National Laboratories is the nation’s premier science and engineering lab for national security and technology innovation, with teams of specialists focused on cutting-edge work in a broad array of areas. Some of the main reasons we love our jobs:
Challenging work with amazing impact that contributes to security, peace, and freedom worldwide
Extraordinary co-workers
Some of the best tools, equipment, and research facilities in the world
Career advancement and enrichment opportunities
Flexible schedules, generous vacations, strong medical and other benefits, competitive 401k, learning opportunities, relocation assistance and amenities aimed at creating a solid work/life balance*
World-changing technologies. Life-changing careers. Learn more about Sandia at: http://www.sandia.govThese benefits vary by job classification.

Security Clearance


This position does not currently require a Department of Energy (DOE)-granted security clearance.
Sandia will conduct a pre-employment drug testing, and a pre-employment background review that includes personal reference checks, law enforcement record checks, and employment and education verifications. Further, employees in New Mexico must pass a U.S. Air Force background screen for access to the work site. Substance abuse or illegal drug use, falsification of information, criminal activity, serious misconduct or other indicators of untrustworthiness can cause access to be denied or terminated, rendering the inability to perform the duties assigned and resulting in termination of employment.
If hired without a clearance, and one subsequently becomes required or you bid on positions that require a DOE-granted security clearance, a pre-processing background review that includes personal reference checks, law enforcement record and credit checks, and employment and education verifications may be conducted prior to a required federal background investigation. Applicants for DOE-granted security clearances must be U.S. citizens and be able to obtain and maintain the appropriate DOE security clearance as required for the position.

EEO


All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status."
48,"Charlotte, NC","Job Description
Wells Fargo, we have one goal: to satisfy our customers’ financial needs and help them achieve their dreams. We’re looking for talented people who will put our customers at the center of everything we do. Join our diverse and inclusive team where you’ll feel valued and inspired to contribute your unique skills and experience.
Help us build a better Wells Fargo. It all begins with outstanding talent. It all begins with you.
Enterprise Finance & Information Technology offers technology and services that exceed Wells Fargo customers’ expectations and directly enable them to succeed financially. We interact with customers more than 12 billion times a year through in-store, online, ATM, and telephone transactions. We impact customers directly, through systems availability and security, as well as indirectly, through our business partners who offer and deliver a myriad of products and services that meet customers’ financial needs. We provide a competitive advantage for the company through excellence in fundamentals, integrated partnerships, and our talented and engaged team members.

Position Responsibilities
This position plays an important role in business processes and decision making by providing expertise in data analysis, complex statistical methods, and strategic problem solving.
Solves complex business & strategic problems using advanced analytical and statistical techniques.
Applies advanced statistical and predictive modeling techniques to build, maintain, and improve on multiple real-time decision systems. Conducts advanced data analysis and highly complex designs algorithm. Analyzes and interprets data from various sources.
Responsible for leading the strategic design and maintenance of business intelligence / big data /data science applications.
Compiles reports, charts, and tables based on established statistical methods. Ensures that the use of business intelligence / big data / data science applications enhances business decision making capabilities.
Develops and presents clear concise recommendations outlining alternatives and key decision criteria.
Identifies and recommends new data sources that will maximize analytic output and create customized reports.
Collaborates across the organization to develop solutions that drive business outcomes.

Required Qualifications

8+ years of experience in one or a combination of the following: reporting, analytics, or modeling; or a Masters degree or higher in a quantitative field such as applied math, statistics, engineering, physics, accounting, finance, economics, econometrics, computer sciences, or business/social and behavioral sciences with a quantitative emphasis and 5+ years of experience in one or a combination of the following: reporting, analytics, or modeling
5+ years of data collection and reporting experience
3+ years of Tableau experience

Desired Qualifications

Extensive knowledge and understanding of research and analysis
Strong analytical skills with high attention to detail and accuracy
Excellent verbal, written, and interpersonal communication skills
Excellent verbal, written, and interpersonal communication skills

Other Desired Qualifications
Experience with RDBMS technology and SQL (MS SQL and/or Vertica) and knowledge of BI related principles such as ETL, data modeling, & data warehousing
Ability to communicate complex quantitative analysis in a clear, precise, and actionable manner to both technical and non-technical audiences with a desire to work in a collaborative, intellectually curious environment with the ability to interact across various teams
Ability to manage multiple projects simultaneously with deadlines and manage changing priorities with minimal supervision and intervention
Experience linking multiple data platforms with data visualization tools
A passion for empirical research and for answering hard questions with data in a clear and precise way
Ability to take high level, loosely-defined business problems and identify precise, quantitative solutions
Experience with developing reports in Business Objects
Expertise in building and applying statistical/mathematical methods, machine learning/predictive modelling with real-world use cases and experience with tools such as R, SAS, SPSS
Extensive experience solving analytical problems using quantitative techniques
Experience with REST API, python software development and packaging
Functional Knowledge: Possesses and applies broad knowledge of principles, practices, and procedures of a particular field or specialization to the completion of difficult assignments. Can be recognized as an expert within a team or department within an organization.
Business Expertise: Professional with a high degree of knowledge in the overall field (Information Technology infrastructure support). Applies a broad knowledge of principles, practices, and procedures of a particular field of specialization. Work is varied and involves many different and unrelated processes and methods to a broad range of activities. Includes responsibility for interpreting data, planning work and/or refining methods and techniques to be used. Provides in-depth analysis.
Problem Solving: Exercises judgment in selecting methods, techniques and evaluation criteria for obtaining results. Develops innovative solutions to situations where guidelines cannot be applied.
Leadership: Works under minimal supervision, conferring with superior(s) on unusual matters. Assignments are broad in nature, usually requiring originality and ingenuity. May lead project teams and/or plan, conduct and oversee assignments of lower level employees.
Impact and Influence: Impacts the quality and timeliness of the work for the department. Errors result in delays to assigned projects resulting in expenditure of additional time.

Street Address
NC-Charlotte: 1525 W Wt Harris Blvd - Charlotte, NC
AZ-Chandler: 2600 S Price Rd - Chandler, AZ
AZ-Tempe: 1305 W 23rd St - Tempe, AZ
MN-Minneapolis: 255 2nd Ave S - Minneapolis, MN


Disclaimer

All offers for employment with Wells Fargo are contingent upon the candidate having successfully completed a criminal background check. Wells Fargo will consider qualified candidates with criminal histories in a manner consistent with the requirements of applicable local, state and Federal law, including Section 19 of the Federal Deposit Insurance Act.

Relevant military experience is considered for veterans and transitioning service men and women.

Wells Fargo is an Affirmative Action and Equal Opportunity Employer, Minority/Female/Disabled/Veteran/Gender Identity/Sexual Orientation."
49,"Washington, DC","PCAOB oversees the audit of public companies and SEC registered brokers and dealers in order to protect investors and further public interest in the preparation of informative, accurate and independent audit reports.Play a significant role in PCAOB's increasing focus on data analytics, using predictive data analytics to improve the effectiveness and efficiency of our inspection process and continuous monitoring. The individual in this role will work closely with other divisions, inspection teams, data scientists, key management and collaborate with the IT Division.Qualifications for this role:Eligible to work in the US without sponsorship now or in the futureBachelor's Degree in Math, Computer Science, Information Management, Statistics or related fieldMinimum of 7 years experience in a relevant role, understanding of relational databases and associated query/extraction languagesKnowledge of Python and/or R, SAS and SQLStrong organizational, time management skills, a team playerAbility to build credibility, solve problems quickly and communicate clearlyDemonstrated ability to think strategically, including the ability to translate long-term goals and objectives into short-term tactical plans and operational activitiesJob Type: Full-timeExperience:data analysis, quantitative: 7 years (Required)Python, and/or R, SAS and SQL: 5 years (Required)Education:Bachelor's (Required)Location:Washington, DC (Required)Work authorization:United States (Required)"
50,"Tarrytown, NY 10591","Job Field: REDE - Research & Development
Location: Tarrytown, NY, US
Company: BASF Corporation
Job Type: Standard
Job ID: EN_US_1802552

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, age, citizenship, color, religion, sex, marital status, national origin, disability status, gender identity or expression, protected veteran status, or any other characteristic protected by law.
Description
At BASF, we create chemistry through the power of connected minds. By balancing economic success with environmental protection and social responsibility, we are building a more sustainable future through chemistry.

As the world’s leading chemical company, we help our customers in nearly every industry meet the current and future needs of society through science and innovation. We achieve this through our commitment to continuous improvement and operational excellence, which gives us the opportunity to set and deliver on ambitious, long-term goals.


We provide a challenging and rewarding work environment with a strong emphasis on process safety, as well as the safety of our employees and the communities we operate in, and are always working to form the best team—especially from within, through an emphasis on lifelong learning and development. This allows for our employees to innovate and generate new ideas, put them into action, and gain insights from them to further advance our collective expertise.

At BASF, we are constantly striving to become an even better place to work. BASF has been recognized by Forbes Magazine as one of America’s Best Employers in 2017. We strongly support the spirit of collaboration through effectively involving team members and colleagues from other relevant units when developing and executing strategies and projects. Come join us on our journey to create solutions for a sustainable future!


Machine Learning and AI Associate Scientist (63039659) – Tarrytown, NY, Wyandotte, MI, Charlotte, NC, or Iselin, NJ


Data Analytics is a core contributor to innovation. Data Analytics comprises Statistics, Machine Learning, and Artificial Intelligence for all kinds of materials, systems, and processes at BASF. We support the live cycle of a material from ideation in research to quality management in production.


If a system observes its environment and takes actions that maximize its chance of success at a given goal, we call it Artificial Intelligence (AI). The mission of the Data Analytics team is to learn from leading institutions in academia and commerce in the region, to develop ML models and algorithms in a global context, and to incubate AI systems in North-America.

Where the Chemistry Happens...

We are searching for a professional like you to play a key role in the planning, design and execution of machine learning and artificial intelligence applications to accomplish project objectives. You will disseminate the value proposition of data science in our R&D organization. Through machine learning and artificial intelligence, you enable regular researchers to integrate sophisticated mathematical models into their lab workflow, e.g. by developing tailored apps.

You will be relied on to provide knowledge and expertise in achieving research targets, interpreting results, and reporting them to key stakeholders.

Formula for Success

Leveraging your academic background in data analytics, machine learning, artificial intelligence, or a related scientific discipline, you will contribute to a research direction that provides innovation and breakthrough advantages for the business by delivering tailored machine learning and AI solutions Your familiarity with different analytical areas of expertise in AI (e.g., machine/reinforcement learning, statistics, analytics) will be critical as you explore technical possibilities and create ideas together with internal non-AI-expert business partners. Successfully engaging across the organization, you will interact frequently with colleagues who are specialists at non-digital research disciplines Relying on your strong programming skills, you will contribute to the development of applications that make complex machine learning models accessible to both lab technicians and business partners. Your strong communication skills help us bridge the gap between mathematics and real world applications. Create Your Own Chemistry: What We Offer You

Adding value to our customers begins with adding value to you. You@BASF is the suite of benefits, perks, programs and unique opportunities we offer to support you—the whole you—in all stages of your life and career. With you@BASF, you create your own chemistry.


The total rewards that you receive as a BASF employee go way beyond a paycheck. From competitive health and insurance plans, to robust retirement benefits that include company-matching contributions, to making sure you never stop learning, we believe investing in you is investing in our success. Working for a large, global organization, you’ll have a chance to grow professionally and personally, expand your network and build a rewarding and dynamic career.
BASF provides interesting and challenging learning and development opportunities to help you make the most of your talents and your job."
51,"Troy, MI","Join our Innovative Team
Want to do more than just imagine the ways our world will move tomorrow? Join the technology company that’s transforming the future of mobility today.
About this Position
We currently have an exciting opportunity for a Senior Data Scientist(s) located in our Troy, MI office. This position will define, optimize and analyze the required data to validate Aptiv’s active safety systems.
Responsibilities and Duties
Be an evangelist for safety data driven decisions where quality is designed in, not tested in
Identify, create, store, and analyze data to drive proactive processes, methods and tools to ensure that the proper safety data is leveraged with success for improving product validation, quality, efficiency and cost across the engineering enterprise and product portfolio
Propose and execute on data management and analytics algorithms to provide meaningful objective results and insights that can be translated into improved product validation, product safety and quality at increased efficiency and reduced cost
Identify and define value added data needs across all engineering disciplines and the entire product life cycle
Leverage off-the shelf data analytics packages and write new ones to effectively analyze safety data and create meaningful assessments, diagnostics, recommendations and predictions
Work with their EGM and Chief to develop strategy and implement plans with Aptiv’s High Performance Compute Cluster Team, Aptiv’s Mobile Data Analytics Systems Team and Aptiv’s Tools Teams for effective collection, storage, retention, confidentiality and privacy
Support Aptiv’s Data Monetization and Machine Learning Teams’ efforts with clear data capabilities to enable their success
6-12 month key deliverables/outcomes
Enhance the existing data strategy across the entire Engineering Validation process, document gaps with planned corrective actions
Implement value added data collection and analytics to improve overall product safety, quality, efficiency and cost on multiple customer driven projects
Identify and implement optimizations to achieve a minimum of 10% cost reduction with no impact on safety data profile
Implement Agile methods in the application of data engineering

Need to Haves (Basic Requirements)
Bachelor’s Degree in Engineering or a Hard Science
3+ years of experience working in a safety role
3+ years of hands-on Automotive Electronic Control Unit System and Software design, development and validation experience, preferably for complex systems e.g. Active Safety, Passive Safety, Infotainment, Telematics, Powertrain
5+ years of in-depth, hands-on experience with database and knowledge management
5+ years of complex scripting and code development, in languages such as Python, Perl, Ruby, Bash, Matlab, C/C++, etc.
3+ years of developing applications leveraging the latest, most effective statistical packages and Artificial Intelligence techniques and architectures, (e.g. but not limited to Regression, Clustering, Decision Trees, Bayesian techniques, Supervised and Unsupervised Learning, etc.) with verifiably superior results
Nice to Haves (Preferred Requirements)
MS or PhD Degree in Engineering or a Hard Science preferred
3+ years in Vehicle Systems and Software Engineering
5+ years presentation and communication skills, both oral and written to all levels of audiences
5+ years of adherence to product development timelines, creativity and efficiency under pressure
Demonstrate an all-encompassing integrity – transparent ethical consistency towards product quality, safety, self, colleagues and customers
Demonstrate strong problem solving skills, with the ability to create clarity from ambiguity, and turn keen insights into executable data trends and recommendations
Demonstrate proactive thinking with the ability to respond to unexpected situations
Traits we seek
Curiously investigate everything – ability to solve problems analytically, creatively and collaboratively
Lead with confidence – thought leaders who empower those around them
Learn by doing – an entrepreneurial mindset that’s driven by hands-on experimentation
Embrace resilience – seeing every challenge as a learning opportunity and invitation to grow
Aptiv Rewards and Advantages
Competitive compensation with bonus potential
Competitive health benefits
401K with matching contribution
Learning and development opportunities
Discount programs with various manufacturers and retailers
Recognition for innovation and excellence
Opportunities to give back to the community
Meaningful work that makes a difference in the world
Relocation assistance (if applicable)
About Aptiv
Aptiv is a global technology company that develops safer, greener and more connected solutions enabling the future of mobility. Headquartered in Dublin, Aptiv has approximately 150,000 employees and operates 14 technical centers, as well as manufacturing sites and customer support centers in 45 countries. Visit aptiv.com.
About Advanced Safety and User Experience
Advanced Safety and User Experience encompasses our deep expertise in software, centralized computing platforms, advanced safety systems and automated driving focusing on five areas that are transforming mobility: Safety Electronics, Infotainment, User Experience, Autonomous Driving and Connectivity & Security.
Candidates for positions with Aptiv must be legally authorized to work in the United States on a permanent basis. Verification of employment eligibility will be required at the time of hire.
RSR"
52,"Reston, VA","We are currently seeking a motivated, career and customer-oriented Data Scientist to join our team in Northern Virginia and begin an exciting and challenging career with Unisys Federal Systems. The ideal candidate is an individual with broad understanding of the Department of Homeland Security (DHS) based on experience gained from supporting several components. Applicants should have the functional knowledge and ability to support our client's data challenges by providing data solution architecture, data engineering, data science, and data analysis support that analyzes, synthesizes, and integrates large quantities of structured and unstructured data that will be used to enhance the tools and features of the client information technology applications.

Working with our DHS clients, you will use your knowledge of DHS's data collection and management capabilities, end-to-end data and work flows, and data warehouses and lakes to enhance mission performance and improve Departmental and Component efficiency. You will implement data analysis using machine learning, predictive analytics, data mining, pattern recognition, data modeling, and statistical methods to solve large scale optimization problems and identify meaning derived from large data sets. You will perform data analytics at on-premise data centers and in cloud environments, including AWS and Azure. You will develop architectures and approaches for addressing information siloes and systems of records that do not facilitate data sharing and reuse. You will apply your expertise on multiple complex work assignments which are broad in nature, requiring originality and innovation in determining how to accomplish tasks. You will apply your comprehensive knowledge across key tasks and high impact assignments, evaluate performance results and recommend changes as necessary to achieve project success. Your primary responsibility will be working with teams designing, testing and building applications to meet DHS customer requirements and goals, which may include using Big Data Analytics and a Continuous Integration/Continuous Delivery (CI/CD) approach to optimize data flows and provide meaningful and actionable information. You will support our customers and enhance the experience of their clients and users by designing, developing, and deploying tools for public users of many types. Potential tasks include expanding existing client models to present relevant information to users including: developing and deploying personalized processing models; adding integration points for the intelligent automated help agents to connect with external applications or data sources to increase its effectiveness and accuracy; creating and implementing scrubbing strategies to ensure unstructured data is appropriate to present to the end user; analyzing customer data and biometrics to identify key data points for confirming a customer's identity; and analyzing, validating, and creating process to transition from a transaction based model to a customer centric model. You will also prepare technical papers and playbooks, responses to acqusitions, and conduct white board sessions within Unisys and with customers.

Requirements
Must have experience working for or supporting the Department of Homeland Security and its components. You must be familiar with Agile methodology and be able to work collaboratively in a team environment. Excellent written and oral communications skills are essential. Other requirements include:
Expert in enterprise data tranformation including data warehouse and data lake rationalization.Proven expertise in using combinations of supervised and unsupervised machine learning algorithms, predictive models, and statistical algorithms to provide insights into client datasets.Must be familiar with current link analysis and risk analysis tools.Deep knowledge of Data Science including Google Analytics and metrics, statistical analysis, machine learning and natural language processing, and data science, analytics, modeling and integration.Experience planning, organizing, facilitating, and collecting data from focus group and research/usability testing sessions.Data segmentation and data flow modeling.Knowledge of and experience working with Hadoop and Cloudera.Executing descriptive analyses, ranging from identifying product opportunities to understanding user behaviorExperience/expertise with Natural Language Processing (NLP), graph theory, Scala, and machine learning.Demonstrated ability building innovative data products (e.g., Artificial Intelligence, real-time services, such as personalization and commerce graphing using Big Data platforms with real-time data ingestion and processing).Establishing big data reporting and enterprise analytics platforms to analyze increasingly larger and more complex data sets.Skills at Identifying and correcting data quality issues and establishing a data governance framework to enforce data standards and improve accuracy using integrated internal and external disparate data sources.

Familiarity and experience with the following is highly desirable:
Developing machine-learning algorithms to improve predictions.Develop highly optimized, scalable automatic case matching logic on microservice/container technology.

U.S. CITIZENSHIP REQUIRED
Master’s Degree in Computer Science, Computational Mathematics, Statistics, Engineering or related field degree or higher and a minimum of 15 years of related experience. Applicable advance certifications and education and specific skills can be substituted for Master's degree or years of experience. Current DHS Clearance is a bonus.

Local candidates only. Work location: Northern Virginia
About Unisys
Do you have what it takes to be mission critical?

Your skills and experience could be mission critical for our Unisys team supporting the Federal Government in their mission to protect and defend our nation, and transform the way government agencies manage information and improve responsiveness to their customers. As a member of our diverse team, you’ll gain valuable career-enhancing experience as we support the design, development, testing, implementation, training, and maintenance of our federal government’s critical systems.

Apply today to become mission critical and help our nation meet the growing need for IT security, improved infrastructure, big data, and advanced analytics.

Unisys is a global information technology company that solves complex IT challenges at the intersection of modern and mission critical. We work with many of the world's largest companies and government organizations to secure and keep their mission-critical operations running at peak performance; streamline and transform their data centers; enhance support to their end users and constituents; and modernize their enterprise applications. We do this while protecting and building on their legacy IT investments. Our offerings include outsourcing and managed services, systems integration and consulting services, high-end server technology, cybersecurity and cloud management software, and maintenance and support services. Unisys has more than 23,000 employees serving clients around the world.

Unisys offers a very competitive benefits package including health insurance coverage from first day of employment, a 401k with an immediately vested company match, vacation and educational benefits. To learn more about Unisys visit us at www.Unisys.com.
Unisys is an Equal Opportunity Employer (EOE) - Minorities, Females, Disabled Persons, and Veterans.
#FED#"
53,"Westport, CT 06880","$100,000 - $150,000 a yearZenabi: we find signals. Zenabi is a technology company that delivers high-value data science and artificial intelligence platform and consulting services to clients looking to leverage the world of big data to improve their business processes and revenue.In this role, you’ll join our A.I. team in Westport, CT. Basic QualificationsBachelor or Master's degree in highly quantitative field (CS, machine learning, mathematics, statistics) or equivalent experience.Experience with R, Python, or other statistical/machine learning software.Experience applying various machine learning techniques, and understanding the key parameters that affect their performance.Experience developing experimental and analytic plans for data modeling processes, use of strong baselines, and the ability to accurately determine cause and effect relationships.Understanding of relevant statistical measures such as confidence intervals, significance of error measurements, development and evaluation data sets, etc.Preferred Qualifications3+ years of experience with machine learning, statistical modeling, data mining, and analytics techniques.Previous experience in a ML or data scientist role within a technology company.Job Type: Full-timeSalary: $100,000.00 to $150,000.00 /yearExperience:machine learning: 3 years (Preferred)Education:Bachelor's (Preferred)"
